"#iterations","runtime(s)","min_dt","max_dt","W_MHD3D","min_dW","max_dW","sum_dW","normF_X1","normF_X2","normF_LA","tau","normV_X1","normV_X2","normV_LA","X1_axis_0","X2_axis_0","X1_axis_1","X2_axis_1" 
  0.000000000000000E+00,  0.000000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.476680149884060E+05,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.111902785811597E+00,  0.339046732187196E+00,  0.914183983154358E-03,  0.750000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.851964147638057E+01,  0.135106818137393E+00,  0.852979596352853E+01,  0.129070362498622E+00
  0.100000000000000E+01,  0.200000000000000E-01,  0.100000000000000E+00,  0.100000000000000E+00,  0.476638890212450E+05, -0.412596716106782E+01, -0.412596716106782E+01, -0.412596716106782E+01,  0.110776982241293E+00,  0.335875099762446E+00,  0.109278691744101E-02,  0.750000000000000E-01,  0.104095614708463E-01,  0.315392309011346E-01,  0.850403705259868E-04,  0.851982164131144E+01,  0.136392675871237E+00,  0.852990610035228E+01,  0.130395017032174E+00
  0.200000000000000E+01,  0.500000000000000E-01,  0.100000000000000E+00,  0.100000000000000E+00,  0.476562981125576E+05, -0.759090868740168E+01, -0.412596716106782E+01, -0.117168758484695E+02,  0.108689824390711E+00,  0.329950200406622E+00,  0.190937141825035E-02,  0.684467077935915E-01,  0.194437857614274E-01,  0.589340835266085E-01,  0.169676716898564E-03,  0.852016073192412E+01,  0.138796933988182E+00,  0.853011353970635E+01,  0.132869798905879E+00
  0.400000000000000E+01,  0.100000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.476331807410899E+05, -0.126846332189380E+02, -0.412596716106782E+01, -0.348342473161320E+02,  0.102200175116907E+00,  0.311125473153689E+00,  0.508238305782689E-02,  0.578096523458230E-01,  0.343804451231779E-01,  0.104349998213306E+00,  0.564367806594011E-03,  0.852126164884687E+01,  0.146454890911106E+00,  0.853078844589444E+01,  0.140733679374212E+00
  0.800000000000000E+01,  0.220000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.475706665388918E+05, -0.163981245914547E+02, -0.412596716106782E+01, -0.973484495141820E+02,  0.834412394493653E-01,  0.252514823053170E+00,  0.143380990501331E-01,  0.455042761966860E-01,  0.547580192227111E-01,  0.166694372420921E+00,  0.323201982939740E-02,  0.852494935246384E+01,  0.170482285317972E+00,  0.853306593219910E+01,  0.165206207812195E+00
  0.160000000000000E+02,  0.470000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.474728158558248E+05, -0.163981245914547E+02, -0.412596716106782E+01, -0.195199132581249E+03,  0.473402605126376E-01,  0.108876635144528E+00,  0.297269565253847E-01,  0.687337918035030E-01,  0.542542152001864E-01,  0.160596909679666E+00,  0.132930103655732E-01,  0.853633378340502E+01,  0.230740269856905E+00,  0.854029171669283E+01,  0.225043720024780E+00
  0.320000000000000E+02,  0.950000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.474387083494943E+05, -0.163981245914547E+02, -0.731408053077757E+00, -0.229306638911774E+03,  0.258230068004732E-01,  0.246435683222476E-01,  0.254090870158377E-01,  0.396014365562466E-01,  0.248023517098334E-01,  0.287372727463986E-01,  0.219069985101998E-01,  0.855627685526341E+01,  0.283201389354355E+00,  0.855471299221735E+01,  0.274571500430424E+00
  0.640000000000000E+02,  0.000000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.474054824698689E+05, -0.163981245914547E+02, -0.731408053077757E+00, -0.262532518537177E+03,  0.166588923720273E-01,  0.251077796350015E-01,  0.128378405015856E-01,  0.727409049923497E-02,  0.602832779059418E-01,  0.317029306400771E-01,  0.466503019819079E-01,  0.863055192948817E+01,  0.271919232685242E+00,  0.861764992393143E+01,  0.274253447104380E+00
  0.128000000000000E+03,  0.000000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.473870139095374E+05, -0.163981245914547E+02, -0.652034182276111E-01, -0.281001078868612E+03,  0.408859370132845E-02,  0.592026767710593E-02,  0.257769473650289E-02,  0.955011328155942E-02,  0.157075791018636E-01,  0.100084226043502E-01,  0.881929321016056E-02,  0.872547774126077E+01,  0.295780115136155E+00,  0.871696934674815E+01,  0.307271642141898E+00
  0.256000000000000E+03,  0.000000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.473841125700608E+05, -0.163981245914547E+02, -0.671661111846333E-02, -0.283902418345184E+03,  0.669083499923571E-03,  0.109189527591024E-02,  0.580225490023369E-03,  0.268988947071454E-01,  0.300577746141191E-02,  0.394490622482263E-02,  0.201970112250196E-02,  0.877159240943628E+01,  0.321181337215117E+00,  0.877129518216409E+01,  0.320221734547419E+00
  0.512000000000000E+03,  0.000000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.473833135722946E+05, -0.163981245914547E+02, -0.110801428672858E-02, -0.284701416111435E+03,  0.138825384309217E-03,  0.279135350891621E-03,  0.885534230049053E-04,  0.335677181139725E-02,  0.136586108170814E-02,  0.260192459143705E-02,  0.737531919787671E-03,  0.880020075834875E+01,  0.351563871044988E+00,  0.880318291917809E+01,  0.338745548894259E+00
  0.102400000000000E+04,  0.000000000000000E+00,  0.100000000000000E+00,  0.100000000000000E+00,  0.473830649060829E+05, -0.163981245914547E+02, -0.166631718457211E-03, -0.284950082323136E+03,  0.429038710595375E-04,  0.657773218102413E-04,  0.266564857307321E-04,  0.293193603885133E-02,  0.696128985754814E-03,  0.126197103132422E-02,  0.396557162974174E-03,  0.879918942793698E+01,  0.351511223382967E+00,  0.880305255034020E+01,  0.339152498463211E+00
  0.204800000000000E+04,  0.376000000000000E+01,  0.100000000000000E+00,  0.100000000000000E+00,  0.473829974294755E+05, -0.163981245914547E+02, -0.313519631163217E-04, -0.285017558930485E+03,  0.113903683558885E-04,  0.209340673629379E-04,  0.783872733353428E-05,  0.663482074785956E-03,  0.458259295873357E-03,  0.824608069478879E-03,  0.323397114776024E-03,  0.880264078914101E+01,  0.355359236316189E+00,  0.880237441344579E+01,  0.335737195616372E+00
  0.409600000000000E+04,  0.131500000000000E+02,  0.100000000000000E+00,  0.100000000000000E+00,  0.473829434411165E+05, -0.163981245914547E+02, -0.220480433199555E-04, -0.285071547289546E+03,  0.135286405859798E-04,  0.184261378661600E-04,  0.533144679216474E-05,  0.441642519103348E-03,  0.104217530469998E-02,  0.159370279580833E-02,  0.401081198165634E-03,  0.880580553804157E+01,  0.357232897246293E+00,  0.879548334460715E+01,  0.340238231003784E+00
  0.819200000000000E+04,  0.207200000000000E+02,  0.100000000000000E+00,  0.100000000000000E+00,  0.473826768963541E+05, -0.163981245914547E+02,  0.226072006626055E-05, -0.285338092051948E+03,  0.137440409010336E-04,  0.204910338927153E-04,  0.136180921237980E-04,  0.552541882661102E-03,  0.534969045025118E-03,  0.757639442868980E-03,  0.491168058769762E-03,  0.880977535561266E+01,  0.363796116227696E+00,  0.880151775705771E+01,  0.333869982989592E+00
  0.100000000000000E+05,  0.300300000000000E+02,  0.100000000000000E+00,  0.100000000000000E+00,  0.473826642965517E+05, -0.163981245914547E+02,  0.226072006626055E-05, -0.285350691854321E+03,  0.436006449390855E-05,  0.638666886241773E-05,  0.396549843663316E-05,  0.701134077995226E-03,  0.227636253148975E-03,  0.305053499380591E-03,  0.162084586651095E-03,  0.880492580950479E+01,  0.359782347593934E+00,  0.880340952908618E+01,  0.335355323557441E+00
